GroupID,LC_Adj,Dev_Temp_LC,M_Temp_LC,Max_Temp_LC,Dev_Temp_LC_INIT,M_Temp_LC_INIT,Max_Temp_LC_INIT
B003,2,0.45,32.01,32.28,NA,NA,NA
B003,3,0.89,30.725,31.39,0.45,32.01,32.28
B003,4,0.43,29.849,30.11,0.89,30.725,31.39
B003,5,NA,NA,NA,0.43,29.849,30.11
B003,2,0.45,32.01,32.28,NA,32.234,32.234
B004,1,2.195,31.726,32.985,NA,NA,NA
B004,2,2.595,32.156,33.12,2.195,31.726,32.985
B004,3,1.19,30.813,31.43,2.595,32.156,33.12
B004,4,1.065,29.823,30.41,1.19,30.813,31.43
B004,5,NA,NA,NA,1.065,29.823,30.41
B004,1,2.195,31.726,32.985,NA,NA,NA
B004,2,2.595,32.156,33.12,2.195,31.726,32.985
B004,3,1.19,30.813,31.43,2.595,32.156,33.12
B004,4,1.065,29.823,30.41,1.19,30.813,31.43
B004,5,NA,NA,NA,1.065,29.823,30.41
B005,2,0.385,32.29,32.475,0.695,32.038,32.357
B005,3,0.887,30.806,31.49,0.385,32.29,32.475
B005,4,0.6,29.824,30.18,0.887,30.806,31.49
B005,5,NA,NA,NA,0.6,29.824,30.18
B005,2,0.385,32.29,32.475,0.695,32.038,32.357
B005,3,0.887,30.806,31.49,0.385,32.29,32.475
B005,4,0.6,29.824,30.18,0.887,30.806,31.49
B005,5,NA,NA,NA,0.6,29.824,30.18
B006,2,1.103,32.048,32.568,0.632,31.644,31.98
B006,3,1.172,30.903,31.76,1.103,32.048,32.568
B006,4,0.77,29.853,30.28,1.172,30.903,31.76
B006,5,NA,NA,NA,0.77,29.853,30.28
B006,2,1.103,32.048,32.568,0.632,31.644,31.98
B006,3,1.172,30.903,31.76,1.103,32.048,32.568
B006,4,0.77,29.853,30.28,1.172,30.903,31.76
B006,5,NA,NA,NA,0.77,29.853,30.28
B007,2,1.186,32.007,32.599,0.77,29.853,30.28
B007,3,1.305,30.942,31.87,1.186,32.007,32.599
B007,4,0.79,29.851,30.28,1.305,30.942,31.87
B007,5,NA,NA,NA,0.79,29.851,30.28
B007,2,1.186,32.007,32.599,0.77,29.853,30.28
B007,3,1.305,30.942,31.87,1.186,32.007,32.599
B007,4,0.79,29.851,30.28,1.305,30.942,31.87
B007,5,NA,NA,NA,0.79,29.851,30.28
B008,1,1.059,31.711,32.256,NA,NA,NA
B008,2,0.315,32.202,32.36,1.059,31.711,32.256
B008,3,0.85,30.781,31.44,0.315,32.202,32.36
B008,4,0.64,29.816,30.2,0.85,30.781,31.44
B008,5,NA,NA,NA,0.64,29.816,30.2
B008,1,1.059,31.711,32.256,NA,NA,NA
B008,2,0.315,32.202,32.36,1.059,31.711,32.256
B008,3,0.85,30.781,31.44,0.315,32.202,32.36
B008,4,0.64,29.816,30.2,0.85,30.781,31.44
B008,5,NA,NA,NA,0.64,29.816,30.2
B010,1,3.04,31.455,33.04,NA,NA,NA
B010,2,1.673,32.101,32.887,3.04,31.455,33.04
