FishID,GroupID,Rank,LC_Adj,Init_TL,Diff_TL,Perc_change_TL,Shrink,Growth_ThreeGroups,Dev_Temp_LC,M_Temp_LC,Max_Temp_LC,Dev_Temp_LC_INIT,M_Temp_LC_INIT,Max_Temp_LC_INIT
B003_1,B003,1,3,62.83,-0.67,-1.066369569,1,3,0.89,30.725,31.39,0.45,32.01,32.28
B003_1,B003,1,5,63.5,-0.5,-0.787401575,1,3,0.59,29.382,28.44,0.43,29.849,30.11
B003_1,B003,1,4,62.17,1.33,2.13929548,0,3,0.43,29.849,30.11,0.89,30.725,31.39
B004_1,B004,1,1,63,-1,-1.587301587,1,2,2.195,31.726,32.985,2.96,31.1175,32.89625
B004_1,B004,1,5,67.17,0.5,0.744379932,0,2,1.76125,27.5915,28.18875,1.065,29.823,30.41
B004_1,B004,1,3,63.33,1.33,2.100110532,0,2,1.19,30.813,31.43,2.595,32.156,33.12
B004_1,B004,1,2,62,1.33,2.14516129,0,2,2.595,32.156,33.12,2.195,31.726,32.985
B004_1,B004,1,4,64.67,2.5,3.865780114,0,2,1.065,29.823,30.41,1.19,30.813,31.43
B004_2,B004,2,1,56.5,-0.5,-0.884955752,1,2,2.195,31.726,32.985,2.96,31.1175,32.89625
B004_2,B004,2,3,56.83,0,0,0,2,1.19,30.813,31.43,2.595,32.156,33.12
B004_2,B004,2,5,57.67,0.17,0.294780649,0,2,1.76125,27.5915,28.18875,1.065,29.823,30.41
B004_2,B004,2,4,56.83,0.83,1.460496217,0,2,1.065,29.823,30.41,1.19,30.813,31.43
B004_2,B004,2,2,56,0.83,1.482142857,0,2,2.595,32.156,33.12,2.195,31.726,32.985
B005_1,B005,1,3,70.83,-0.17,-0.240011295,1,2,0.887,30.806,31.49,0.385,32.29,32.475
B005_1,B005,1,4,70.67,0.33,0.466959106,0,2,0.6,29.824,30.18,0.887,30.806,31.49
B005_1,B005,1,5,71,0.5,0.704225352,0,2,0.624,29.344,28.545,0.6,29.824,30.18
B005_1,B005,1,2,69,1.83,2.652173913,0,2,0.385,32.29,32.475,0.695,32.038,32.357
B005_2,B005,2,4,56.33,-0.5,-0.887626487,1,2,0.6,29.824,30.18,0.887,30.806,31.49
B005_2,B005,2,5,55.83,0.67,1.200071646,0,2,0.624,29.344,28.545,0.6,29.824,30.18
B005_2,B005,2,3,54.83,1.5,2.735728616,0,2,0.887,30.806,31.49,0.385,32.29,32.475
B005_2,B005,2,2,50.5,4.33,8.574257426,0,2,0.385,32.29,32.475,0.695,32.038,32.357
B006_1,B006,1,4,63,-0.83,-1.317460317,1,3,0.77,29.853,30.28,1.172,30.903,31.76
B006_1,B006,1,2,61.5,-0.17,-0.276422764,1,3,1.103,32.048,32.568,0.632,31.644,31.98
B006_1,B006,1,5,62.17,0.5,0.804246421,0,3,1.015,28.898,28.128,0.77,29.853,30.28
B006_1,B006,1,3,61.33,1.67,2.722974075,0,3,1.172,30.903,31.76,1.103,32.048,32.568
B006_2,B006,2,5,45.17,-0.33,-0.730573389,1,2,1.015,28.898,28.128,0.77,29.853,30.28
B006_2,B006,2,4,44.67,0.5,1.119319454,0,2,0.77,29.853,30.28,1.172,30.903,31.76
B006_2,B006,2,3,44.17,0.5,1.131990038,0,2,1.172,30.903,31.76,1.103,32.048,32.568
B006_2,B006,2,2,43.5,0.67,1.540229885,0,2,1.103,32.048,32.568,0.632,31.644,31.98
B007_1,B007,1,5,74.33,-0.33,-0.443966097,1,2,1.093666667,28.734,27.829,0.79,29.851,30.28
B007_1,B007,1,3,73.83,0.17,0.230258702,0,2,1.305,30.942,31.87,1.186,32.007,32.599
