FishID,GroupID,Rank,LC_Adj,TL,Init_TL,Diff_TL,Perc_change_TL,R2_Shrink,R1_Shrink,Shrinking,Size_R2R1_Initial,Max_Temp_LC,Max_Temp_LC_INIT
B27_1,B27,1,1,69.67,75,-5.33,-7.106666667,,1,1,0.72,32.544,31.865
B28_1,B28,1,4,65.67,70.33,-4.67,-6.640125124,,1,1,0.763116735,30.2,31.66
LY272_2,LY272,2,1,59,63,-4,-6.349206349,1,,1,0.84,32.668,31.87225
O142_1,O142,1,2,74.5,78.5,-4,-5.095541401,,1,1,0.713375796,32.97,32.145
B40_1,B40,1,5,70.5,74,-3.5,-4.72972973,,1,1,,27.75525,30.09
B49_2,B49,2,2,58.67,61,-2.33,-3.819672131,1,,1,0.85915493,32.544,31.78
B33_2,B33,2,1,53.17,55,-1.83,-3.327272727,1,,1,0.820895522,31.98,30.6245
B20_2,B20,2,1,46.5,48,-1.5,-3.125,1,,1,0.864864865,32.74,32.20625
B62_1,B62,1,1,77.5,80,-2.5,-3.125,,1,1,0.7875,33.03,33.02
LY79_2,LY79,2,1,49.5,51,-1.5,-2.941176471,1,,1,0.772727273,32.258,31.94575
B62_2,B62,2,1,61.33,63,-1.67,-2.650793651,1,,1,0.7875,33.03,33.02
B68_2,B68,2,2,63.83,65.5,-1.67,-2.549618321,1,,1,0.793939394,32.45,32.007
B32_2,B32,2,5,32,32.83,-0.83,-2.528175449,1,,1,0.637475728,27.73625,30.2
LY399_1,LY399,1,1,78.17,80,-1.83,-2.2875,,1,1,0.7625,32.042,31.32175
B48_1,B48,1,2,79.17,81,-1.83,-2.259259259,,1,1,0.724320988,33.073,32.587
B54_2,B54,2,1,52.83,54,-1.17,-2.166666667,1,,1,0.9,33.083,33.27675
LY357_1,LY357,1,1,71.5,73,-1.5,-2.054794521,,1,1,0.801369863,32.77,32.94025
B46_1,B46,1,5,80.33,82,-1.67,-2.036585366,,1,1,0.782560976,27.786,30.37
B80_2,B80,2,2,50.5,51.5,-1,-1.941747573,1,,1,0.811023622,32.6,32.353
B32_2,B32,2,1,26.5,27,-0.5,-1.851851852,1,,1,0.586956522,32.495,31.73275
